Application_number,Datum,Popis
2018-34881,21.12.2015,podání přihlášky
2018-34881,21.12.2015,podání žádosti o úplný průzkum
2018-34881,28.06.2017,zveřejnění PV
2018-34881,18.04.2018,publikace udělení patentu
2018-34881,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34896,21.12.2015,podání přihlášky
2018-34896,21.12.2015,podání žádosti o úplný průzkum
2018-34896,28.06.2017,zveřejnění PV
2018-34896,18.04.2018,publikace udělení patentu
2018-34896,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34897,21.12.2015,podání přihlášky
2018-34897,21.12.2015,podání žádosti o úplný průzkum
2018-34897,28.06.2017,zveřejnění PV
2018-34897,18.04.2018,publikace udělení patentu
2018-34897,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34922,21.12.2015,podání přihlášky
2018-34922,21.12.2015,podání žádosti o úplný průzkum
2018-34922,28.06.2017,zveřejnění PV
2018-34922,18.04.2018,publikace udělení patentu
2018-34922,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34954,21.12.2015,podání přihlášky
2018-34954,21.12.2015,podání žádosti o úplný průzkum
2018-34954,28.06.2017,zveřejnění PV
2018-34954,18.04.2018,publikace udělení patentu
2018-34954,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34975,21.12.2015,podání přihlášky
2018-34975,21.12.2015,podání žádosti o úplný průzkum
2018-34975,28.06.2017,zveřejnění PV
2018-34975,18.04.2018,publikace udělení patentu
2018-34975,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35018,21.12.2015,podání přihlášky
2018-35018,21.12.2015,podání žádosti o úplný průzkum
2018-35018,28.06.2017,zveřejnění PV
2018-35018,18.04.2018,publikace udělení patentu
2018-35018,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35019,21.12.2015,podání přihlášky
2018-35019,21.12.2015,podání žádosti o úplný průzkum
2018-35019,28.06.2017,zveřejnění PV
2018-35019,18.04.2018,publikace udělení patentu
2018-35019,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35065,21.12.2015,podání přihlášky
2018-35065,21.12.2015,podání žádosti o úplný průzkum
2018-35065,28.06.2017,zveřejnění PV
2018-35065,18.04.2018,publikace udělení patentu
2018-35065,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35066,21.12.2015,podání přihlášky
2018-35066,21.12.2015,podání žádosti o úplný průzkum
2018-35066,28.06.2017,zveřejnění PV
2018-35066,18.04.2018,publikace udělení patentu
2018-35066,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35081,21.12.2015,podání přihlášky
2018-35081,21.12.2015,podání žádosti o úplný průzkum
2018-35081,28.06.2017,zveřejnění PV
2018-35081,18.04.2018,publikace udělení patentu
2018-35081,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35087,21.12.2015,podání přihlášky
2018-35087,21.12.2015,podání žádosti o úplný průzkum
2018-35087,28.06.2017,zveřejnění PV
2018-35087,18.04.2018,publikace udělení patentu
2018-35087,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35093,21.12.2015,podání přihlášky
2018-35093,21.12.2015,podání žádosti o úplný průzkum
2018-35093,28.06.2017,zveřejnění PV
2018-35093,18.04.2018,publikace udělení patentu
2018-35093,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35094,21.12.2015,podání přihlášky
2018-35094,21.12.2015,podání žádosti o úplný průzkum
2018-35094,28.06.2017,zveřejnění PV
2018-35094,18.04.2018,publikace udělení patentu
2018-35094,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35096,21.12.2015,podání přihlášky
2018-35096,21.12.2015,podání žádosti o úplný průzkum
2018-35096,28.06.2017,zveřejnění PV
2018-35096,18.04.2018,publikace udělení patentu
2018-35096,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35097,21.12.2015,podání přihlášky
2018-35097,21.12.2015,podání žádosti o úplný průzkum
2018-35097,28.06.2017,zveřejnění PV
2018-35097,18.04.2018,publikace udělení patentu
2018-35097,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35151,21.12.2015,podání přihlášky
2018-35151,21.12.2015,podání žádosti o úplný průzkum
2018-35151,28.06.2017,zveřejnění PV
2018-35151,18.04.2018,publikace udělení patentu
2018-35151,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35308,21.12.2015,podání přihlášky
2018-35308,21.12.2015,podání žádosti o úplný průzkum
2018-35308,28.06.2017,zveřejnění PV
2018-35308,18.04.2018,publikace udělení patentu
2018-35308,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35384,21.12.2015,podání přihlášky
2018-35384,21.12.2015,podání žádosti o úplný průzkum
2018-35384,28.06.2017,zveřejnění PV
2018-35384,18.04.2018,publikace udělení patentu
2018-35384,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35385,21.12.2015,podání přihlášky
2018-35385,21.12.2015,podání žádosti o úplný průzkum
2018-35385,28.06.2017,zveřejnění PV
2018-35385,18.04.2018,publikace udělení patentu
2018-35385,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35389,21.12.2015,podání přihlášky
2018-35389,21.12.2015,podání žádosti o úplný průzkum
2018-35389,28.06.2017,zveřejnění PV
2018-35389,18.04.2018,publikace udělení patentu
2018-35389,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35392,21.12.2015,podání přihlášky
2018-35392,21.12.2015,podání žádosti o úplný průzkum
2018-35392,28.06.2017,zveřejnění PV
2018-35392,18.04.2018,publikace udělení patentu
2018-35392,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35394,21.12.2015,podání přihlášky
2018-35394,21.12.2015,podání žádosti o úplný průzkum
2018-35394,28.06.2017,zveřejnění PV
2018-35394,18.04.2018,publikace udělení patentu
2018-35394,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35396,21.12.2015,podání přihlášky
2018-35396,21.12.2015,podání žádosti o úplný průzkum
2018-35396,28.06.2017,zveřejnění PV
2018-35396,18.04.2018,publikace udělení patentu
2018-35396,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35419,21.12.2015,podání přihlášky
2018-35419,21.12.2015,podání žádosti o úplný průzkum
2018-35419,28.06.2017,zveřejnění PV
2018-35419,18.04.2018,publikace udělení patentu
2018-35419,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35439,21.12.2015,podání přihlášky
2018-35439,21.12.2015,podání žádosti o úplný průzkum
2018-35439,28.06.2017,zveřejnění PV
2018-35439,18.04.2018,publikace udělení patentu
2018-35439,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35441,21.12.2015,podání přihlášky
2018-35441,21.12.2015,podání žádosti o úplný průzkum
2018-35441,28.06.2017,zveřejnění PV
2018-35441,18.04.2018,publikace udělení patentu
2018-35441,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35445,21.12.2015,podání přihlášky
2018-35445,21.12.2015,podání žádosti o úplný průzkum
2018-35445,28.06.2017,zveřejnění PV
2018-35445,18.04.2018,publikace udělení patentu
2018-35445,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35455,21.12.2015,podání přihlášky
2018-35455,21.12.2015,podání žádosti o úplný průzkum
2018-35455,28.06.2017,zveřejnění PV
2018-35455,18.04.2018,publikace udělení patentu
2018-35455,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35458,21.12.2015,podání přihlášky
2018-35458,21.12.2015,podání žádosti o úplný průzkum
2018-35458,28.06.2017,zveřejnění PV
2018-35458,18.04.2018,publikace udělení patentu
2018-35458,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35465,21.12.2015,podání přihlášky
2018-35465,21.12.2015,podání žádosti o úplný průzkum
2018-35465,28.06.2017,zveřejnění PV
2018-35465,18.04.2018,publikace udělení patentu
2018-35465,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35482,21.12.2015,podání přihlášky
2018-35482,21.12.2015,podání žádosti o úplný průzkum
2018-35482,28.06.2017,zveřejnění PV
2018-35482,18.04.2018,publikace udělení patentu
2018-35482,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35483,21.12.2015,podání přihlášky
2018-35483,21.12.2015,podání žádosti o úplný průzkum
2018-35483,28.06.2017,zveřejnění PV
2018-35483,18.04.2018,publikace udělení patentu
2018-35483,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35490,21.12.2015,podání přihlášky
2018-35490,21.12.2015,podání žádosti o úplný průzkum
2018-35490,28.06.2017,zveřejnění PV
2018-35490,18.04.2018,publikace udělení patentu
2018-35490,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35491,21.12.2015,podání přihlášky
2018-35491,21.12.2015,podání žádosti o úplný průzkum
2018-35491,28.06.2017,zveřejnění PV
2018-35491,18.04.2018,publikace udělení patentu
2018-35491,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35505,21.12.2015,podání přihlášky
2018-35505,21.12.2015,podání žádosti o úplný průzkum
2018-35505,28.06.2017,zveřejnění PV
2018-35505,18.04.2018,publikace udělení patentu
2018-35505,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35656,21.12.2015,podání přihlášky
2018-35656,21.12.2015,podání žádosti o úplný průzkum
2018-35656,28.06.2017,zveřejnění PV
2018-35656,18.04.2018,publikace udělení patentu
2018-35656,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35665,21.12.2015,podání přihlášky
2018-35665,21.12.2015,podání žádosti o úplný průzkum
2018-35665,28.06.2017,zveřejnění PV
2018-35665,18.04.2018,publikace udělení patentu
2018-35665,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35675,21.12.2015,podání přihlášky
2018-35675,21.12.2015,podání žádosti o úplný průzkum
2018-35675,28.06.2017,zveřejnění PV
2018-35675,18.04.2018,publikace udělení patentu
2018-35675,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35705,21.12.2015,podání přihlášky
2018-35705,21.12.2015,podání žádosti o úplný průzkum
2018-35705,28.06.2017,zveřejnění PV
2018-35705,18.04.2018,publikace udělení patentu
2018-35705,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35782,21.12.2015,podání přihlášky
2018-35782,21.12.2015,podání žádosti o úplný průzkum
2018-35782,28.06.2017,zveřejnění PV
2018-35782,18.04.2018,publikace udělení patentu
2018-35782,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35784,21.12.2015,podání přihlášky
2018-35784,21.12.2015,podání žádosti o úplný průzkum
2018-35784,28.06.2017,zveřejnění PV
2018-35784,18.04.2018,publikace udělení patentu
2018-35784,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35785,21.12.2015,podání přihlášky
2018-35785,21.12.2015,podání žádosti o úplný průzkum
2018-35785,28.06.2017,zveřejnění PV
2018-35785,18.04.2018,publikace udělení patentu
2018-35785,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35787,21.12.2015,podání přihlášky
2018-35787,21.12.2015,podání žádosti o úplný průzkum
2018-35787,28.06.2017,zveřejnění PV
2018-35787,18.04.2018,publikace udělení patentu
2018-35787,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35791,21.12.2015,podání přihlášky
2018-35791,21.12.2015,podání žádosti o úplný průzkum
2018-35791,28.06.2017,zveřejnění PV
2018-35791,18.04.2018,publikace udělení patentu
2018-35791,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-35833,21.12.2015,podání přihlášky
2019-35833,21.12.2015,podání žádosti o úplný průzkum
2019-35833,28.06.2017,zveřejnění PV
2019-35833,18.04.2018,publikace udělení patentu
2019-35833,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-35872,21.12.2015,podání přihlášky
2019-35872,21.12.2015,podání žádosti o úplný průzkum
2019-35872,28.06.2017,zveřejnění PV
2019-35872,18.04.2018,publikace udělení patentu
2019-35872,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-35934,21.12.2015,podání přihlášky
2019-35934,21.12.2015,podání žádosti o úplný průzkum
2019-35934,28.06.2017,zveřejnění PV
2019-35934,18.04.2018,publikace udělení patentu
2019-35934,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36145,21.12.2015,podání přihlášky
2019-36145,21.12.2015,podání žádosti o úplný průzkum
2019-36145,28.06.2017,zveřejnění PV
2019-36145,18.04.2018,publikace udělení patentu
2019-36145,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36146,21.12.2015,podání přihlášky
2019-36146,21.12.2015,podání žádosti o úplný průzkum
2019-36146,28.06.2017,zveřejnění PV
2019-36146,18.04.2018,publikace udělení patentu
2019-36146,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38383,21.12.2015,podání přihlášky
2020-38383,21.12.2015,podání žádosti o úplný průzkum
2020-38383,28.06.2017,zveřejnění PV
2020-38383,18.04.2018,publikace udělení patentu
2020-38383,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38731,21.12.2015,podání přihlášky
2021-38731,21.12.2015,podání žádosti o úplný průzkum
2021-38731,28.06.2017,zveřejnění PV
2021-38731,18.04.2018,publikace udělení patentu
2021-38731,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38844,21.12.2015,podání přihlášky
2021-38844,21.12.2015,podání žádosti o úplný průzkum
2021-38844,28.06.2017,zveřejnění PV
2021-38844,18.04.2018,publikace udělení patentu
2021-38844,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38884,21.12.2015,podání přihlášky
2021-38884,21.12.2015,podání žádosti o úplný průzkum
2021-38884,28.06.2017,zveřejnění PV
2021-38884,18.04.2018,publikace udělení patentu
2021-38884,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38905,21.12.2015,podání přihlášky
2021-38905,21.12.2015,podání žádosti o úplný průzkum
2021-38905,28.06.2017,zveřejnění PV
2021-38905,18.04.2018,publikace udělení patentu
2021-38905,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38914,21.12.2015,podání přihlášky
2021-38914,21.12.2015,podání žádosti o úplný průzkum
2021-38914,28.06.2017,zveřejnění PV
2021-38914,18.04.2018,publikace udělení patentu
2021-38914,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38990,21.12.2015,podání přihlášky
2021-38990,21.12.2015,podání žádosti o úplný průzkum
2021-38990,28.06.2017,zveřejnění PV
2021-38990,18.04.2018,publikace udělení patentu
2021-38990,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38991,21.12.2015,podání přihlášky
2021-38991,21.12.2015,podání žádosti o úplný průzkum
2021-38991,28.06.2017,zveřejnění PV
2021-38991,18.04.2018,publikace udělení patentu
2021-38991,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-38993,21.12.2015,podání přihlášky
2021-38993,21.12.2015,podání žádosti o úplný průzkum
2021-38993,28.06.2017,zveřejnění PV
2021-38993,18.04.2018,publikace udělení patentu
2021-38993,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39086,21.12.2015,podání přihlášky
2021-39086,21.12.2015,podání žádosti o úplný průzkum
2021-39086,28.06.2017,zveřejnění PV
2021-39086,18.04.2018,publikace udělení patentu
2021-39086,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39198,21.12.2015,podání přihlášky
2021-39198,21.12.2015,podání žádosti o úplný průzkum
2021-39198,28.06.2017,zveřejnění PV
2021-39198,18.04.2018,publikace udělení patentu
2021-39198,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39294,21.12.2015,podání přihlášky
2021-39294,21.12.2015,podání žádosti o úplný průzkum
2021-39294,28.06.2017,zveřejnění PV
2021-39294,18.04.2018,publikace udělení patentu
2021-39294,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39373,21.12.2015,podání přihlášky
2021-39373,21.12.2015,podání žádosti o úplný průzkum
2021-39373,28.06.2017,zveřejnění PV
2021-39373,18.04.2018,publikace udělení patentu
2021-39373,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39520,21.12.2015,podání přihlášky
2021-39520,21.12.2015,podání žádosti o úplný průzkum
2021-39520,28.06.2017,zveřejnění PV
2021-39520,18.04.2018,publikace udělení patentu
2021-39520,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-39663,21.12.2015,podání přihlášky
2022-39663,21.12.2015,podání žádosti o úplný průzkum
2022-39663,28.06.2017,zveřejnění PV
2022-39663,18.04.2018,publikace udělení patentu
2022-39663,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
